   1,        0,   105,-11124,-15698,  -455,    86,   202,  -160,     3, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   2,      833,    96, -7698,-16234,  -409,     5,   254,  -143,     1, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   3,     1666,   115, -3747,-15655,  -337,   -77,   288,  -115,     1, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   4,     2499,   100,   318,-14073,  -240,  -151,   302,   -81,     2, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   5,     3332,    -8,  4241,-11488,  -126,  -219,   293,   -41,     2, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   6,     4165,  -306,  7677, -8338,    -6,  -272,   268,    -3,     4, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   7,     4998,  -229, 11152, -4148,   120,  -306,   226,    43,     5, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   8,     5831,  -147, 13821,    86,   232,  -318,   162,    87,     4, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   9,     6664,  -136, 15334,  4180,   329,  -307,    87,   118,     2, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  10,     7497,  -132, 15809,  8123,   405,  -277,     9,   146,     3, 20013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
